45.140.17.38 - - [20/Aug/2023:03:43:34 +0300] "GET /wp/wp-login.php HTTP/1.1" 404 213 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36"
45.140.17.38 - - [20/Aug/2023:03:43:34 +0300] "GET /wp-login.php HTTP/1.1" 404 210 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36"
66.249.66.33 - - [20/Aug/2023:03:50:11 +0300] "GET /page/multi-day-tours.html HTTP/1.1" 200 42156 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.66.32 - - [20/Aug/2023:03:50:13 +0300] "GET /js/jquery/jquery-ui.css HTTP/1.1" 200 35997 "http://www.coolgeorgia.com/page/multi-day-tours.html" "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; Googlebot/2.1; +http://www.google.com/bot.html) Chrome/116.0.5845.96 Safari/537.36"
66.249.66.32 - - [20/Aug/2023:03:50:14 +0300] "GET /cabinet/css/intlTelInput.css HTTP/1.1" 200 24327 "http://www.coolgeorgia.com/page/multi-day-tours.html" "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; Googlebot/2.1; +http://www.google.com/bot.html) Chrome/116.0.5845.96 Safari/537.36"
66.249.66.33 - - [20/Aug/2023:03:50:14 +0300] "GET /js/review-button.js HTTP/1.1" 200 1102 "http://www.coolgeorgia.com/page/multi-day-tours.html" "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; Googlebot/2.1; +http://www.google.com/bot.html) Chrome/116.0.5845.96 Safari/537.36"
66.249.66.33 - - [20/Aug/2023:03:50:54 +0300] "GET /page/multi-day-tours.html HTTP/1.1" 200 42156 "-" "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.5735.179 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
76.103.225.8 - - [20/Aug/2023:04:06:54 +0300] "GET /en/page/excursions.html HTTP/1.1" 200 35153 "https://www.google.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1"
76.103.225.8 - - [20/Aug/2023:04:06:55 +0300] "GET /css/coolgeorgia.css HTTP/1.1" 200 7012 "https://coolgeorgia.com/en/page/excursions.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1"
76.103.225.8 - - [20/Aug/2023:04:06:55 +0300] "GET /js/review-button.js HTTP/1.1" 200 1102 "https://coolgeorgia.com/en/page/excursions.html" "Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1"
